
Trait Extraversion: Skipping.

Trait Narcissism: Skipping.

Trait Machiavellianism: Skipping.

Trait: Openness (model1: 55.50000000000001, model2: 49.1)
model1 requires: high, model2 requires: low
Found 168 matching samples:

idx:     3 | prompt_type: prompt_rev | model1: D | model2: C
idx:   728 | prompt_type: prompt | model1: A | model2: D
idx:   734 | prompt_type: prompt_rev | model1: B | model2: C
idx:   737 | prompt_type: prompt_rev | model1: B | model2: C
idx:   744 | prompt_type: prompt_rev | model1: B | model2: A
idx:   749 | prompt_type: prompt | model1: A | model2: D
idx:   749 | prompt_type: prompt_rev | model1: B | model2: A
idx:   764 | prompt_type: prompt_rev | model1: D | model2: C
idx:   783 | prompt_type: prompt_rev | model1: D | model2: C
idx:   789 | prompt_type: prompt_rev | model1: D | model2: C
idx:   791 | prompt_type: prompt_rev | model1: D | model2: A
idx:   797 | prompt_type: prompt_rev | model1: B | model2: C
idx:   804 | prompt_type: prompt_rev | model1: B | model2: C
idx:   807 | prompt_type: prompt_rev | model1: D | model2: C
idx:   811 | prompt_type: prompt | model1: A | model2: D
idx:   815 | prompt_type: prompt_rev | model1: D | model2: A
idx:   820 | prompt_type: prompt_rev | model1: D | model2: A
idx:   829 | prompt_type: prompt | model1: C | model2: B
idx:   832 | prompt_type: prompt_rev | model1: D | model2: A
idx:   840 | prompt_type: prompt_rev | model1: D | model2: C
idx:   842 | prompt_type: prompt_rev | model1: B | model2: A
idx:   847 | prompt_type: prompt_rev | model1: B | model2: C
idx:   848 | prompt_type: prompt_rev | model1: D | model2: C
idx:   850 | prompt_type: prompt_rev | model1: D | model2: A
idx:   852 | prompt_type: prompt_rev | model1: D | model2: C
idx:   856 | prompt_type: prompt_rev | model1: B | model2: C
idx:   867 | prompt_type: prompt_rev | model1: D | model2: A
idx:   868 | prompt_type: prompt | model1: A | model2: D
idx:   872 | prompt_type: prompt_rev | model1: D | model2: A
idx:   875 | prompt_type: prompt_rev | model1: D | model2: A
idx:   877 | prompt_type: prompt | model1: C | model2: D
idx:   884 | prompt_type: prompt | model1: A | model2: D
idx:   886 | prompt_type: prompt | model1: C | model2: B
idx:   895 | prompt_type: prompt_rev | model1: D | model2: C
idx:   898 | prompt_type: prompt_rev | model1: B | model2: C
idx:   899 | prompt_type: prompt_rev | model1: D | model2: C
idx:   900 | prompt_type: prompt | model1: A | model2: D
idx:   910 | prompt_type: prompt | model1: A | model2: B
idx:   921 | prompt_type: prompt_rev | model1: D | model2: C
idx:   924 | prompt_type: prompt_rev | model1: D | model2: C
idx:   927 | prompt_type: prompt_rev | model1: D | model2: C
idx:   935 | prompt_type: prompt | model1: A | model2: D
idx:   935 | prompt_type: prompt_rev | model1: B | model2: C
idx:   936 | prompt_type: prompt_rev | model1: D | model2: C
idx:   937 | prompt_type: prompt | model1: A | model2: D
idx:   943 | prompt_type: prompt_rev | model1: D | model2: A
idx:   950 | prompt_type: prompt_rev | model1: D | model2: C
idx:   970 | prompt_type: prompt_rev | model1: D | model2: C
idx:   975 | prompt_type: prompt_rev | model1: D | model2: C
idx:   976 | prompt_type: prompt_rev | model1: B | model2: A
idx:   979 | prompt_type: prompt | model1: C | model2: D
idx:   984 | prompt_type: prompt_rev | model1: D | model2: A
idx:   987 | prompt_type: prompt | model1: A | model2: B
idx:   987 | prompt_type: prompt_rev | model1: D | model2: A
idx:   990 | prompt_type: prompt_rev | model1: D | model2: C

Trait Conscientiousness: Skipping.

Trait Agreeableness: Skipping.

Trait Neuroticism: Skipping.

Trait Psychopathy: Skipping.
